home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
31047,"Houston County, GA",15,0.023,96.9555
31312,"Effingham County, GA",15,0.023,96.9785
30108,"Carroll County, GA",14,0.0215,97.0
30183,"Cherokee County, GA",14,0.0215,97.0215
30577,"Stephens County, GA",14,0.0215,97.043
31027,"Laurens County, GA",14,0.0215,97.0645
31211,"Bibb County, GA",14,0.0215,97.086
31406,"Chatham County, GA",14,0.0215,97.1075
31408,"Chatham County, GA",14,0.0215,97.129
30039,"DeKalb County, GA",13,0.0199,97.1489
30153,"Paulding County, GA",13,0.0199,97.1688
30175,"Pickens County, GA",13,0.0199,97.1887
30180,"Paulding County, GA",13,0.0199,97.2086
30234,"Butts County, GA",13,0.0199,97.2285
30666,"Barrow County, GA",13,0.0199,97.2484
30705,"Murray County, GA",13,0.0199,97.2683
30907,"Richmond County, GA",13,0.0199,97.2882
31030,"Peach County, GA",13,0.0199,97.3081
31216,"Bibb County, GA",13,0.0199,97.328
31602,"Lowndes County, GA",13,0.0199,97.3479
30228,"Spalding County, GA",12,0.0184,97.3663
30250,"Clayton County, GA",12,0.0184,97.3847
30512,"Union County, GA",12,0.0184,97.4031
30529,"Jackson County, GA",12,0.0184,97.4215
30643,"Hart County, GA",12,0.0184,97.4399
30650,"Morgan County, GA",12,0.0184,97.4583
30720,"Whitfield County, GA",12,0.0184,97.4767
31032,"Jones County, GA",12,0.0184,97.4951
31046,"Monroe County, GA",12,0.0184,97.5135
31407,"Chatham County, GA",12,0.0184,97.5319
30072,"DeKalb County, GA",11,0.0169,97.5488
30220,"Meriwether County, GA",11,0.0169,97.5657
30517,"Hall County, GA",11,0.0169,97.5826
30642,"Greene County, GA",11,0.0169,97.5995
30905,"Richmond County, GA",11,0.0169,97.6164
31008,"Peach County, GA",11,0.0169,97.6333
31217,"Bibb County, GA",11,0.0169,97.6502
31401,"Chatham County, GA",11,0.0169,97.6671
31558,"Camden County, GA",11,0.0169,97.684
30230,"Heard County, GA",10,0.0153,97.6993
30248,"Spalding County, GA",10,0.0153,97.7146
30554,"Hall County, GA",10,0.0153,97.7299
30747,"Chattooga County, GA",10,0.0153,97.7452
31087,"Hancock County, GA",10,0.0153,97.7605
31326,"Effingham County, GA",10,0.0153,97.7758
31522,"Glynn County, GA",10,0.0153,97.7911
31705,"Dougherty County, GA",10,0.0153,97.8064
31763,"Lee County, GA",10,0.0153,97.8217
31792,"Thomas County, GA",10,0.0153,97.837
31794,"Tift County, GA",10,0.0153,97.8523
31808,"Harris County, GA",10,0.0153,97.8676
31820,"Muscogee County, GA",10,0.0153,97.8829
31830,"Meriwether County, GA",10,0.0153,97.8982
30054,"Walton County, GA",9,0.0138,97.912
30097,"Forsyth County, GA",9,0.0138,97.9258
30178,"Bartow County, GA",9,0.0138,97.9396
30338,"Fulton County, GA",9,0.0138,97.9534
30360,"Gwinnett County, GA",9,0.0138,97.9672
30458,"Bulloch County, GA",9,0.0138,97.981
30548,"Jackson County, GA",9,0.0138,97.9948
30707,"Walker County, GA",9,0.0138,98.0086
30741,"Walker County, GA",9,0.0138,98.0224
30753,"Chattooga County, GA",9,0.0138,98.0362
31410,"Chatham County, GA",9,0.0138,98.05
31707,"Dougherty County, GA",9,0.0138,98.0638
31768,"Colquitt County, GA",9,0.0138,98.0776
31804,"Harris County, GA",9,0.0138,98.0914
30004,"Cherokee County, GA",8,0.0123,98.1037
30145,"Bartow County, GA",8,0.0123,98.116
30170,"Carroll County, GA",8,0.0123,98.1283
30171,"Bartow County, GA",8,0.0123,98.1406
30205,"Spalding County, GA",8,0.0123,98.1529
30224,"Lamar County, GA",8,0.0123,98.1652
30234,"Henry County, GA",8,0.0123,98.1775
30276,"Meriwether County, GA",8,0.0123,98.1898
30523,"Habersham County, GA",8,0.0123,98.2021
30566,"Hall County, GA",8,0.0123,98.2144
30607,"Jackson County, GA",8,0.0123,98.2267
30633,"Madison County, GA",8,0.0123,98.239
30662,"Franklin County, GA",8,0.0123,98.2513
30673,"Wilkes County, GA",8,0.0123,98.2636
30728,"Walker County, GA",8,0.0123,98.2759
30814,"Columbia County, GA",8,0.0123,98.2882
31015,"Crisp County, GA",8,0.0123,98.3005
31201,"Bibb County, GA",8,0.0123,98.3128
31316,"Long County, GA",8,0.0123,98.3251
31520,"Glynn County, GA",8,0.0123,98.3374
31719,"Sumter County, GA",8,0.0123,98.3497
39828,"Grady County, GA",8,0.0123,98.362
30013,"Newton County, GA",7,0.0107,98.3727
30055,"Newton County, GA",7,0.0107,98.3834
30107,"Forsyth County, GA",7,0.0107,98.3941
30110,"Haralson County, GA",7,0.0107,98.4048
30157,"Cobb County, GA",7,0.0107,98.4155
30230,"Coweta County, GA",7,0.0107,98.4262
30230,"Meriwether County, GA",7,0.0107,98.4369
30233,"Lamar County, GA",7,0.0107,98.4476
