home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles,nearest_xpress_park_ride,nearest_xpress_node_code,nearest_xpress_route_ids,distance_to_xpress_miles,outside_marta_10_miles,xpress_access_within_10_miles,xpress_extension_candidate
30567,"Jackson County, GA",7,1,34.180798,-83.676554,DORAVILLE STATION,MARTA-DORAVILLE,39.58,Hamilton Mill Park and Ride,XPRESS-400008,413|414,15.80,true,false,false
30802,"Columbia County, GA",7,1,33.601366,-82.299936,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,111.54,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,96.27,true,false,false
31052,"Bibb County, GA",7,1,32.789015,-83.840075,AIRPORT STATION,MARTA-AIRPORT,68.48,McDonough Park and Ride,XPRESS-400014,430,47.66,true,false,false
31064,"Jasper County, GA",7,1,33.286454,-83.702299,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,45.14,McDonough Park and Ride,XPRESS-400014,430,29.07,true,false,false
31516,"Pierce County, GA",7,1,31.309371,-82.253260,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,205.29,McDonough Park and Ride,XPRESS-400014,430,184.01,true,false,false
31822,"Troup County, GA",7,1,32.864979,-84.910348,AIRPORT STATION,MARTA-AIRPORT,59.92,Newnan Park and Ride,XPRESS-400015,453,38.77,true,false,false
31833,"Troup County, GA",7,1,32.842900,-85.091845,AIRPORT STATION,MARTA-AIRPORT,66.55,Newnan Park and Ride,XPRESS-400015,453,44.23,true,false,false
39823,"Early County, GA",7,1,31.333568,-84.947033,AIRPORT STATION,MARTA-AIRPORT,162.05,Newnan Park and Ride,XPRESS-400015,453,143.63,true,false,false
30094,"DeKalb County, GA",6,1,33.612505,-84.051523,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.93,West Conyers Park and Ride (DT),XPRESS-400025,426,5.05,true,true,true
30137,"Bartow County, GA",6,1,34.116557,-84.765700,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,26.23,Hickory Grove Park and Ride,XPRESS-400030,484,9.47,true,true,true
30176,"Haralson County, GA",6,1,33.771314,-85.304390,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,47.97,West Douglas Park and Ride,XPRESS-400028,463,30.68,true,false,false
30188,"Cobb County, GA",6,1,34.123533,-84.457654,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,13.63,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,9.32,true,true,true
30339,"Fulton County, GA",6,1,33.867570,-84.464600,BUCKHEAD STATION,MARTA-BUCKHEAD,5.73,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,12.58,false,false,false
30518,"Hall County, GA",6,1,34.133822,-84.022599,DORAVILLE STATION,MARTA-DORAVILLE,21.77,I-985 at GA 20 (Buford) Park and Ride,XPRESS-400033,411|412,3.71,true,true,true
30525,"Rabun County, GA",6,1,34.907223,-83.369347,DORAVILLE STATION,MARTA-DORAVILLE,86.71,Hamilton Mill Park and Ride,XPRESS-400008,413|414,65.53,true,false,false
30548,"Barrow County, GA",6,1,34.089396,-83.763599,DORAVILLE STATION,MARTA-DORAVILLE,32.32,Hamilton Mill Park and Ride,XPRESS-400008,413|414,9.09,true,true,true
30548,"Hall County, GA",6,1,34.089396,-83.763599,DORAVILLE STATION,MARTA-DORAVILLE,32.32,Hamilton Mill Park and Ride,XPRESS-400008,413|414,9.09,true,true,true
30563,"Habersham County, GA",6,1,34.558960,-83.461828,DORAVILLE STATION,MARTA-DORAVILLE,65.16,Hamilton Mill Park and Ride,XPRESS-400008,413|414,42.49,true,false,false
30564,"Hall County, GA",6,1,34.463965,-83.889312,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,44.75,Cumming Park and Ride,XPRESS-400004,401,24.26,true,false,false
30606,"Oconee County, GA",6,1,33.940299,-83.433583,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,47.16,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,27.43,true,false,false
30607,"Clarke County, GA",6,1,34.017305,-83.447551,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,47.99,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,26.35,true,false,false
30620,"Gwinnett County, GA",6,1,33.929472,-83.758457,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,29.19,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,9.77,true,true,true
30621,"Oconee County, GA",6,1,33.796813,-83.471175,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,43.58,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,28.63,true,false,false
30646,"Madison County, GA",6,1,34.085682,-83.302513,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,57.44,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,35.13,true,false,false
30828,"Warren County, GA",6,1,33.368038,-82.656312,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,94.72,West Conyers Park and Ride (DT),XPRESS-400025,426,83.71,true,false,false
31028,"Houston County, GA",6,1,32.632840,-83.683930,AIRPORT STATION,MARTA-AIRPORT,82.42,McDonough Park and Ride,XPRESS-400014,430,61.36,true,false,false
31211,"Jones County, GA",6,1,32.904267,-83.598526,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,70.02,McDonough Park and Ride,XPRESS-400014,430,48.89,true,false,false
31220,"Monroe County, GA",6,1,32.884462,-83.818148,AIRPORT STATION,MARTA-AIRPORT,63.61,McDonough Park and Ride,XPRESS-400014,430,42.36,true,false,false
31605,"Lowndes County, GA",6,1,30.932951,-83.221938,AIRPORT STATION,MARTA-AIRPORT,200.27,McDonough Park and Ride,XPRESS-400014,430,180.56,true,false,false
31721,"Dougherty County, GA",6,1,31.525260,-84.301465,AIRPORT STATION,MARTA-AIRPORT,146.40,McDonough Park and Ride,XPRESS-400014,430,130.89,true,false,false
31811,"Harris County, GA",6,1,32.737356,-84.937436,AIRPORT STATION,MARTA-AIRPORT,68.57,Newnan Park and Ride,XPRESS-400015,453,47.68,true,false,false
31905,"Muscogee County, GA",6,1,32.372789,-84.843361,AIRPORT STATION,MARTA-AIRPORT,90.57,Newnan Park and Ride,XPRESS-400015,453,71.57,true,false,false
30052,"Rockdale County, GA",5,1,33.817047,-83.897315,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,19.34,Snellville Park and Ride,XPRESS-400019,419,7.20,true,true,true
30184,"Cherokee County, GA",5,1,34.252062,-84.741056,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,30.55,Hickory Grove Park and Ride,XPRESS-400030,484,14.82,true,false,false
30256,"Upson County, GA",5,1,33.007484,-84.309900,AIRPORT STATION,MARTA-AIRPORT,44.44,McDonough Park and Ride,XPRESS-400014,430,29.25,true,false,false
30461,"Bulloch County, GA",5,1,32.496955,-81.723101,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,169.59,McDonough Park and Ride,XPRESS-400014,430,156.04,true,false,false
30510,"Habersham County, GA",5,1,34.444872,-83.570707,DORAVILLE STATION,MARTA-DORAVILLE,55.24,Hamilton Mill Park and Ride,XPRESS-400008,413|414,32.46,true,false,false
30513,"Fannin County, GA",5,1,34.821043,-84.322383,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,60.58,Cumming Park and Ride,XPRESS-400004,401,45.35,true,false,false
30517,"Barrow County, GA",5,1,34.130296,-83.797289,DORAVILLE STATION,MARTA-DORAVILLE,31.85,Hamilton Mill Park and Ride,XPRESS-400008,413|414,8.07,true,true,true
30527,"Hall County, GA",5,1,34.480907,-83.781838,DORAVILLE STATION,MARTA-DORAVILLE,49.09,Hamilton Mill Park and Ride,XPRESS-400008,413|414,29.15,true,false,false
30535,"Habersham County, GA",5,1,34.573655,-83.574769,DORAVILLE STATION,MARTA-DORAVILLE,61.45,Hamilton Mill Park and Ride,XPRESS-400008,413|414,39.72,true,false,false
30543,"Hall County, GA",5,1,34.301301,-83.653747,DORAVILLE STATION,MARTA-DORAVILLE,45.24,Hamilton Mill Park and Ride,XPRESS-400008,413|414,21.87,true,false,false
30546,"Towns County, GA",5,1,34.908448,-83.717767,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,75.91,Cumming Park and Ride,XPRESS-400004,401,55.72,true,false,false
30553,"Franklin County, GA",5,1,34.443759,-83.084067,DORAVILLE STATION,MARTA-DORAVILLE,77.97,Hamilton Mill Park and Ride,XPRESS-400008,413|414,54.18,true,false,false
30558,"Banks County, GA",5,1,34.264049,-83.566829,DORAVILLE STATION,MARTA-DORAVILLE,47.89,Hamilton Mill Park and Ride,XPRESS-400008,413|414,24.12,true,false,false
30628,"Madison County, GA",5,1,34.032089,-83.215974,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,60.88,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,39.65,true,false,false
30629,"Madison County, GA",5,1,34.077983,-83.110367,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,67.60,Dacula Park and Ride (Hebron Church),XPRESS-400005,416,45.94,true,false,false
31031,"Wilkinson County, GA",5,1,32.866286,-83.328340,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,81.27,McDonough Park and Ride,XPRESS-400014,430,62.30,true,false,false
31078,"Crawford County, GA",5,1,32.694814,-84.075661,AIRPORT STATION,MARTA-AIRPORT,68.77,McDonough Park and Ride,XPRESS-400014,430,50.26,true,false,false
31082,"Washington County, GA",5,1,32.996417,-82.903117,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,93.33,McDonough Park and Ride,XPRESS-400014,430,79.39,true,false,false
31210,"Monroe County, GA",5,1,32.907633,-83.735052,AIRPORT STATION,MARTA-AIRPORT,65.21,McDonough Park and Ride,XPRESS-400014,430,43.63,true,false,false
31305,"McIntosh County, GA",5,1,31.367579,-81.378193,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,234.74,McDonough Park and Ride,XPRESS-400014,430,216.30,true,false,false
31415,"Chatham County, GA",5,1,32.080640,-81.127217,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,214.44,McDonough Park and Ride,XPRESS-400014,430,200.04,true,false,false
31510,"Bacon County, GA",5,1,31.546546,-82.433529,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,185.76,McDonough Park and Ride,XPRESS-400014,430,164.54,true,false,false
