home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30078,"Gwinnett County, GA",178,18,33.861019,-84.017993,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,13.67
30008,"Cobb County, GA",176,18,33.900567,-84.590924,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,12.26
30041,"Forsyth County, GA",175,18,34.196222,-84.096676,DORAVILLE STATION,MARTA-DORAVILLE,22.86
30268,"Fulton County, GA",170,17,33.546430,-84.722632,AIRPORT STATION,MARTA-AIRPORT,17.19
30307,"DeKalb County, GA",167,17,33.771079,-84.333600,EDGEWOOD-CANDLER PARK STATION,MARTA-EDGEWOOD-CANDLER-PARK,0.76
30084,"DeKalb County, GA",157,16,33.854097,-84.216155,DORAVILLE STATION,MARTA-DORAVILLE,5.00
30345,"DeKalb County, GA",155,16,33.851652,-84.283685,CHAMBLEE STATION,MARTA-CHAMBLEE,2.80
30004,"Fulton County, GA",153,15,34.145635,-84.291881,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,14.38
30115,"Cherokee County, GA",151,15,34.215519,-84.402426,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,18.89
30045,"Gwinnett County, GA",143,14,33.936518,-83.927669,DORAVILLE STATION,MARTA-DORAVILLE,20.39
30093,"Gwinnett County, GA",140,14,33.908911,-84.179240,DORAVILLE STATION,MARTA-DORAVILLE,5.85
30327,"Fulton County, GA",138,14,33.869694,-84.417300,BUCKHEAD STATION,MARTA-BUCKHEAD,3.22
30288,"Clayton County, GA",134,13,33.652897,-84.327107,LAKEWOOD-FT MCPHERSON STATION,MARTA-LAKEWOOD-FT-MCPHERSON,6.71
30518,"Gwinnett County, GA",134,13,34.133822,-84.022599,DORAVILLE STATION,MARTA-DORAVILLE,21.77
30326,"Fulton County, GA",132,13,33.849615,-84.363508,BUCKHEAD STATION,MARTA-BUCKHEAD,0.27
30189,"Cherokee County, GA",126,13,34.124224,-84.570679,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,17.41
30141,"Paulding County, GA",124,12,33.860444,-84.769846,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,18.73
30519,"Gwinnett County, GA",124,12,34.087410,-83.945059,DORAVILLE STATION,MARTA-DORAVILLE,23.09
30259,"Coweta County, GA",122,12,33.265699,-84.741743,AIRPORT STATION,MARTA-AIRPORT,31.00
30019,"Gwinnett County, GA",121,12,33.975634,-83.883769,DORAVILLE STATION,MARTA-DORAVILLE,23.32
30046,"Gwinnett County, GA",120,12,33.949702,-83.993451,DORAVILLE STATION,MARTA-DORAVILLE,16.80
30116,"Carroll County, GA",120,12,33.539118,-84.995610,AIRPORT STATION,MARTA-AIRPORT,32.39
30017,"Gwinnett County, GA",117,12,33.888722,-83.963687,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,17.32
30340,"DeKalb County, GA",117,12,33.897873,-84.252804,DORAVILLE STATION,MARTA-DORAVILLE,1.64
30120,"Bartow County, GA",115,12,34.175229,-84.860036,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,32.89
30281,"Clayton County, GA",115,12,33.556897,-84.195159,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.85
30215,"Clayton County, GA",114,11,33.391613,-84.456432,AIRPORT STATION,MARTA-AIRPORT,17.21
30005,"Fulton County, GA",112,11,34.089050,-84.217019,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,12.81
30092,"Gwinnett County, GA",112,11,33.972386,-84.231986,DORAVILLE STATION,MARTA-DORAVILLE,5.58
30117,"Carroll County, GA",112,11,33.581851,-85.132439,COLLEGE PARK STATION,MARTA-COLLEGE-PARK,39.63
30220,"Coweta County, GA",112,11,33.230839,-84.824860,AIRPORT STATION,MARTA-AIRPORT,35.75
